name_id	domain	kingdom	phylum	class	order	family
27665	Eukarya	Fungi	Basidiomycota	Agaricomycetes		
27666	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae
27667	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae
27668	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae
27669	Eukarya	Fungi	Ascomycota	Pezizomycetes	Pezizales	Rhizinaceae
27670	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae
27674	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	
27676	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	
27677	Eukarya	Fungi	Ascomycota			
27678	Eukarya	Fungi	Ascomycota			
27680	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae
27683	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae
27684	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae
27685	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae
27686	Eukarya	Fungi	Ascomycota			
27688	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	
27689	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae
27690	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Porotheleaceae
27691	Bacteria					
27692	Eukarya	Fungi	Basidiomycota	Pucciniomycetes	Septobasidiales	Septobasidiaceae
27693	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Boletales	Amylocorticiaceae
27694	Eukarya	Fungi				
27696	Eukarya	Fungi	Basidiomycota	Agaricomycetes		
27697	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
27700	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Bondarzewiaceae
27702	Eukarya	Fungi				
27705	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Botryobasidiaceae
27707	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
27709	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae
27710	Eukarya	Fungi	Ascomycota			
27712	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	
27714	Eukarya	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Piedraiaceae
27715	Eukarya	Fungi	Basidiomycota	Agaricomycetes		
27716	Eukarya	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	Icmadophilaceae
27723	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae
27724	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Bondarzewiaceae
27725	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Xenasmataceae
27726	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Xenasmataceae
27728	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27730	Eukarya	Fungi	Basidiomycota			
27731	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
27732	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27733	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae
27734	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
27735	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
27736	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
27742	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27743	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27745	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27746	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27747	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27748	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27749	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27750	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27751	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27752	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27754	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27756	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae
27759	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae
27760	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae
27763	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae
27764	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae
27765	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae
27766	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae
27767	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae
27768	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae
27776	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae
27792	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
