id	text_name	author	deprecated	correct_spelling_id	synonym_id	rank
156	Morchella angusticeps	Peck	0	NULL	NULL	4
158	Hypomyces lactifluorum	(Schwein.) Tul.	0	NULL	7649	4
159	Amanita calyptroderma	G.F. Atk. & V.G. Ballen	0	NULL	3205	4
160	Scleroderma	Pers.	0	NULL	3369	9
161	Micromphale arbuticola	Desjardin	0	NULL	NULL	4
162	Microglossum rufum	(Schwein.) Underw.	0	NULL	NULL	4
163	Melanopus picipes	(Fr.) Pat.	1	NULL	2876	4
164	Melanoleuca	Pat.	0	NULL	3200	9
165	Marasmius quercophilus	Pouzar	1	NULL	4094	4
166	Marasmius plicatulus	Peck	0	NULL	6168	4
167	Marasmius oreades	(Bolton) Fr.	0	NULL	3035	4
168	Marasmius albogriseus	(Peck) Singer	0	NULL	NULL	4
169	Macrotyphula juncea	(Alb. & Schwein.) Berthier	0	NULL	NULL	4
170	Macrolepiota procera	(Scop.) Singer	0	NULL	9673	4
172	Lyophyllum semitale	(Fr.) Kühner	0	NULL	NULL	4
173	Lycoperdon	Pers.	0	NULL	6641	9
174	Lycoperdon pyriforme	Schaeff.	0	NULL	537	4
175	Lycoperdon perlatum	Pers.	0	NULL	253	4
176	Lycoperdon marginatum	Vittad.	0	NULL	252	4
178	Leucocoprinus cepaestipes	(Sowerby) Pat.	1	27144	5171	4
179	Leucocoprinus birnbaumii	(Corda) Singer	0	NULL	248	4
180	Leucoagaricus	Locq. ex Singer	0	NULL	7222	9
181	Leptonia gracilipes	Peck	1	NULL	459	4
182	Lepista nuda	(Bull.) Cooke	0	NULL	8882	4
183	Lepiota oculata	Zeller	0	NULL	NULL	4
184	Lepiota magnispora	Murrill	0	NULL	8707	4
185	Lepiota spheniscispora	Vellinga	0	NULL	5375	4
186	Lepiota atrodisca	Zeller	0	NULL	5684	4
187	Leotia viscosa	Fr.	1	NULL	2591	4
188	Leotia lubrica	(Scop.) Pers.	0	NULL	2591	4
189	Leocarpus fragilis	(Dicks.) Rostaf.	0	NULL	6465	4
190	Leccinum	Gray	0	NULL	2563	9
191	Leccinum manzanitae	Thiers	0	NULL	7037	4
192	Laetiporus conifericola	Burds. & Banik	0	NULL	NULL	4
193	Lactarius xanthogalactus	Peck	0	NULL	5579	4
194	Lactarius volemus	(Fr.) Fr.	1	NULL	4073	4
195	Lactarius subvellereus	Peck	1	NULL	8895	4
196	Lactarius rubrilacteus	Hesler & A.H. Sm.	0	NULL	6230	4
197	Lactarius rubidus	(Hesler & A.H. Sm.) Methven	0	NULL	580	4
198	Lactarius resimus	(Fr.) Fr.	0	NULL	NULL	4
199	Lactarius pubescens	Fr.	0	NULL	435	4
200	Lactarius pubescens var. betulae	(A.H. Sm.) Hesler & A.H. Sm.	0	NULL	4170	2
201	Lactarius pallescens	Hesler & A.H. Sm.	0	NULL	4185	4
202	Lactarius lignyotellus	A.H. Sm. & Hesler	0	NULL	NULL	4
203	Lactarius corrugis	Peck	1	NULL	5951	4
204	Lactarius argillaceifolius	Hesler & A.H. Sm.	0	NULL	NULL	4
205	Lactarius argillaceifolius var. megacarpus	Hesler & A.H. Sm.	0	NULL	6478	2
206	Lactarius alnicola	A.H. Sm.	0	NULL	NULL	4
207	Laccaria laccata	(Scop.) Cooke	0	NULL	NULL	4
209	Inocybe	sensu lato	1	NULL	9737	9
210	Inocybe fraudans	(Britzelm.) Sacc.	0	NULL	579	4
211	Inocybe corydalina	Quél.	0	NULL	NULL	4
212	Inocybe adaequata	(Britzelm.) Sacc.	1	NULL	490	4
213	Hypomyces chrysospermum		1	6041	2505	4
214	Hypomyces cervinigenus	Rogerson & Simms	1	NULL	9498	4
215	Hypholoma sublateritium	(Schaeff.) Quél.	1	NULL	9554	4
216	Hypholoma fasciculare	(Huds.) P. Kumm.	0	NULL	9397	4
217	Hypholoma dispersum	(Fr.) Quél.	0	NULL	3089	4
218	Stropharia aurantiaca	(Cooke) M. Imai	1	NULL	8982	4
219	Hygrophorus speciosus	Peck	0	NULL	2519	4
220	Hygrophorus russula	(Schaeff.) Kauffman	0	NULL	2557	4
221	Hygrophorus roseibrunneus	Murrill	1	43324	4631	4
222	Hygrophorus eburneus	(Bull.) Fr.	0	NULL	2820	4
223	Hygrophorus chrysodon	(Batsch) Fr.	0	NULL	2518	4
224	Hygrophoropsis aurantiaca	(Wulfen) Maire	0	NULL	10063	4
225	Hygrocybe punicea	(Fr.) P. Kumm.	0	NULL	215	4
226	Hygrocybe psittacina	(Schaeff.) P. Kumm.	1	NULL	7558	4
227	Hygrocybe miniata	(Fr.) P. Kumm.	0	NULL	6988	4
228	Hygrocybe flavescens	(Kauffman) Singer	0	NULL	9733	4
231	Hydnellum scrobiculatum	(Fr.) P. Karst.	0	NULL	4300	4
232	Hydnellum peckii	Banker	0	NULL	664	4
233	Hericium ramosum	(Bull.) Letell.	1	NULL	9390	4
234	Hericium erinaceus	(Bull.) Pers.	0	NULL	174	4
235	Hericium abietis	(Weir ex Hubert) K.A. Harrison	0	NULL	173	4
236	Helvella stevensii	Peck	0	NULL	9560	4
237	Helvella queletii	Bres.	1	NULL	4306	4
238	Helvella leucomelaena	(Pers.) Nannf.	1	NULL	171	4
239	Helvella lacunosa	Afzel.	0	NULL	170	4
240	Helvella crispa	(Scop.) Fr.	0	NULL	2544	4
241	Helvella compressa	(Snyder) N.S. Weber	0	NULL	NULL	4
242	Hebeloma sinapizans	(Paulet) Gillet	0	NULL	2648	4
243	Gyromitra infula	(Schaeff.) Quél.	0	NULL	NULL	4
244	Gyromitra gigas	(Krombh.) Quél.	0	NULL	5239	4
245	Gyromitra californica	(W. Phillips) Raitv.	0	NULL	525	4
246	Gymnopus villosipes	(Cleland) Desjardin, Halling & B.A. Perry	1	NULL	2797	4
247	Gymnopus	(Pers.) Roussel	0	NULL	3913	9
248	Gymnopus dryophilus	(Bull.) Murrill	0	NULL	6498	4
249	Gymnopus acervatus	(Fr.) Murrill	1	NULL	2995	4
250	Gymnopilus spectabilis	(Weinm.) A.H. Sm.	1	NULL	6034	4
251	Gymnopilus luteofolius	(Peck) Singer	0	NULL	9559	4
252	Gymnopilus luteocarneus	Hesler	0	NULL	NULL	4
253	Grifola frondosa	(Dicks.) Gray	0	NULL	134	4
254	Gomphus floccosus	(Schwein.) Singer	1	NULL	3403	4
255	Gomphus clavatus	(Pers.) Gray	0	NULL	3027	4
256	Gomphus bonari		1	NULL	4123	4
257	Gomphidius subroseus	Kauffman	0	NULL	NULL	4
258	Gomphidius glutinosus	(Schaeff.) Fr.	0	NULL	9715	4
259	Geoglossum fallax	E.J. Durand	0	NULL	NULL	4
260	Geastrum	Pers.	0	NULL	127	9
261	Geastrum fornicatum	(Huds.) Hook.	0	NULL	2761	4
262	Geastrum floriforme	Vittad.	0	NULL	128	4
263	Gautieria monticola	Harkn.	0	NULL	NULL	4
264	Ganoderma lucidum	(Curtis) P. Karst.	0	NULL	2962	4
